Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,purchases_per_year,loyalty_factor,eltv,discount_premium,satisfaction_index,category_affinity,loyalty_tier,H_score,F_score,M_score,rfm_score,segment
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,1,Express,1,1,14,Venmo,Fortnightly,26,0.5755005388401039,59.68722417378027,0.4712640708417055,0.5871001077680208,0.8829605616511932,Silver,2,2,3,7,Occasional Buyer
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,1,Express,1,1,2,Cash,Fortnightly,26,0.41176612508188887,44.69065303861837,0.4712640708417055,0.5543532250163777,1.0662165272769124,Bronze,1,2,3,6,Occasional Buyer
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,1,Free Shipping,1,1,23,Credit Card,Weekly,52,0.9233158463485474,206.64859822209448,0.4712640708417055,0.7566631692697096,1.2161532264252284,Silver,3,3,4,10,Promo-Dependent
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,1,Next Day Air,1,1,49,PayPal,Weekly,52,0.9979854012719828,234.09214060402334,-2.7198160345219193,0.8195970802543966,1.493641426315352,Platinum,5,3,5,13,Loyal Promo-User
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,1,Free Shipping,1,1,31,PayPal,Annually,1,0.3641213303162258,1.4244510209641763,0.4712640708417055,0.400670419909399,0.8163220286963861,Gold,4,1,2,7,Occasional Buyer
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,1,Standard,1,1,14,Venmo,Weekly,52,0.8755005388401038,138.60501380635745,-2.7198160345219193,0.7231001077680208,0.3319203169589671,Silver,2,3,1,6,Occasional Buyer
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,1,Free Shipping,1,1,49,Cash,Quarterly,4,0.44413924742582894,7.913401823725235,0.4712640708417055,0.4882124648697812,1.4160688252896494,Platinum,5,1,5,11,Loyal Promo-User
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,1,Free Shipping,1,1,19,Credit Card,Weekly,52,0.9047675612693207,167.27170694298394,0.4712640708417055,0.7649535122538642,0.5664275301158598,Silver,2,3,1,6,Occasional Buyer
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,1,Express,1,1,8,Venmo,Annually,1,0.2350707117022393,1.077791568342713,3.3361111111111157,0.3628602961866017,1.6966098034981645,Bronze,1,1,5,7,Occasional Buyer
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,1,2-Day Shipping,1,1,4,Cash,Quarterly,4,0.20988825991206111,2.909669111813563,2.3996554557680767,0.6333622673670276,0.5180592991913747,Bronze,1,1,1,3,At-Risk / One-Timer
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,1,Store Pickup,1,1,26,Bank Transfer,Bi-Weekly,26,0.6352983752456667,58.726378019323434,-2.7198160345219193,0.7190596750491334,0.5642645388302441,Gold,3,2,1,6,Occasional Buyer
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,1,Store Pickup,1,1,10,Bank Transfer,Fortnightly,26,0.5439472648879285,59.88139696291654,0.4712640708417055,0.7967894529775857,1.1328550602317196,Bronze,1,2,3,6,Occasional Buyer
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,1,Express,1,1,37,Venmo,Fortnightly,26,0.6700658675655395,74.74715111988428,3.3361111111111157,0.7740131735131079,1.2593392355862665,Gold,4,2,4,10,Promo-Dependent
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,1,Express,1,1,31,PayPal,Weekly,52,0.9525828687777642,195.72212798769368,0.4712640708417055,0.9545165737555529,0.8496412951737896,Gold,4,3,2,9,Promo-Dependent
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,1,Free Shipping,1,1,34,Debit Card,Weekly,52,0.9616994641775043,199.48259865006074,3.3361111111111157,0.9563398928355009,0.9270136039732239,Gold,4,3,3,10,Promo-Dependent
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,1,Store Pickup,1,1,8,PayPal,Monthly,12,0.3619937886253162,19.142459948703465,0.4712640708417055,0.4545526038789094,1.3494302923348425,Bronze,1,2,4,7,Occasional Buyer
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,1,Next Day Air,1,1,44,Debit Card,Bi-Weekly,26,0.6872666639219928,64.5232511954982,2.3996554557680767,0.7294533327843985,0.6016172506738545,Platinum,5,2,2,9,Promo-Dependent
18,53,Male,Dress,Clothing,38,Mississippi,XL,Lavender,Winter,4.7,1,2-Day Shipping,1,1,36,Venmo,Quarterly,4,0.413506648637333,6.059628393469364,0.4712640708417055,0.662085945112082,0.6330660630706668,Gold,4,1,2,7,Occasional Buyer
19,52,Male,Sweater,Clothing,48,Montana,S,Black,Summer,4.6,1,Free Shipping,1,1,17,Cash,Weekly,52,0.8940488239193305,180.93282274242156,0.4712640708417055,0.9308097647838661,0.7996623954576844,Silver,2,3,2,7,Occasional Buyer
20,66,Male,Pants,Clothing,90,Rhode Island,M,Green,Summer,3.3,1,Standard,1,1,46,Debit Card,Bi-Weekly,26,0.6916905744410977,81.12309408542889,0.4712640708417055,0.6343381148882196,1.4993669914831582,Platinum,5,2,5,12,Loyal Promo-User
21,21,Male,Pants,Clothing,51,Louisiana,M,Black,Winter,2.8,1,Express,1,1,50,Cash,Every 3 Months,4,0.4461538461538462,7.051450328545317,0.4712640708417055,0.4406153846153846,0.8496412951737896,Platinum,5,1,2,8,Promo-Dependent
22,31,Male,Pants,Clothing,62,North Carolina,M,Charcoal,Winter,4.1,1,Store Pickup,1,1,22,Debit Card,Quarterly,4,0.3651399364659534,6.051295803057958,0.4712640708417055,0.580412602677806,1.032897260799509,Silver,3,1,3,7,Occasional Buyer
23,56,Male,Pants,Clothing,37,California,M,Peach,Summer,3.2,1,Store Pickup,1,1,32,Debit Card,Annually,1,0.367251851508279,1.3359102521804054,0.4712640708417055,0.46129652414780964,0.616406429831965,Gold,4,1,2,7,Occasional Buyer
24,31,Male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,1,Express,1,1,40,Credit Card,Weekly,52,0.9777962110828611,228.22652503314637,0.4712640708417055,0.9235592422165722,1.4660477250057546,Platinum,4,3,5,12,Loyal Promo-User
25,18,Male,Jacket,Outerwear,22,Florida,M,Green,Fall,2.9,1,Store Pickup,1,1,16,Debit Card,Weekly,52,0.8882338749181111,144.8227132142998,3.3361111111111157,0.7256467749836223,0.3847980997624703,Silver,2,3,1,6,Occasional Buyer
26,18,Male,Hoodie,Clothing,25,Texas,M,Silver,Summer,3.6,1,Express,1,1,14,PayPal,Annually,1,0.28703900037856545,0.935200773410551,0.4712640708417055,0.49325395392186694,0.4164908309675439,Silver,2,1,1,4,At-Risk / One-Timer
27,38,Male,Jewelry,Accessories,20,Nevada,M,Red,Spring,3.6,1,Next Day Air,1,1,13,Credit Card,Annually,1,0.2800200857133037,0.8525274339673893,2.3996554557680767,0.49185017098881456,0.33423180592991913,Bronze,2,1,1,4,At-Risk / One-Timer
28,56,Male,Shorts,Clothing,56,Kentucky,L,Cyan,Summer,5.0,1,Next Day Air,1,1,7,Bank Transfer,Every 3 Months,4,0.2577035674205047,4.167634939939832,0.4712640708417055,0.6669253288687164,0.9329394613672984,Bronze,1,1,3,5,At-Risk / One-Timer
29,54,Male,Handbag,Accessories,94,North Carolina,M,Gray,Fall,4.4,1,Free Shipping,1,1,41,PayPal,Every 3 Months,4,0.42640159541057726,7.767121487527324,2.3996554557680767,0.6286649344667308,1.57088948787062,Platinum,5,1,5,11,Loyal Promo-User
30,31,Male,Dress,Clothing,48,Wyoming,S,Black,Fall,4.1,1,Store Pickup,1,1,14,Credit Card,Weekly,52,0.8755005388401038,177.17911993936477,0.4712640708417055,0.8671001077680207,0.7996623954576844,Silver,2,3,2,7,Occasional Buyer
31,57,Male,Jewelry,Accessories,31,North Carolina,L,Black,Winter,4.7,1,Standard,1,1,16,Credit Card,Monthly,12,0.4266954133796496,17.74576336451787,2.3996554557680767,0.6954929288297762,0.5180592991913747,Silver,2,2,1,5,At-Risk / One-Timer
32,33,Male,Dress,Clothing,79,West Virginia,L,Brown,Winter,4.7,1,Store Pickup,1,1,45,Venmo,Monthly,12,0.5279642025291986,27.762638371647643,0.4712640708417055,0.715746686659686,1.3161110258574389,Platinum,5,2,4,11,Loyal Promo-User
33,36,Male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,1,Free Shipping,1,1,37,Venmo,Annually,1,0.38160432910400116,1.6101824069828918,3.3361111111111157,0.6681670196669541,1.1718851220038868,Gold,4,1,3,8,Promo-Dependent
34,54,Male,Pants,Clothing,38,Colorado,L,Green,Summer,3.3,1,Store Pickup,1,1,45,Cash,Quarterly,4,0.43565651022150625,6.3842179269367945,0.4712640708417055,0.4985159174289166,0.6330660630706668,Platinum,5,1,2,8,Promo-Dependent
35,36,Male,T-shirt,Clothing,91,North Dakota,L,Violet,Spring,4.6,1,2-Day Shipping,1,1,38,PayPal,Quarterly,4,0.4188623015480085,7.576027081985022,0.4712640708417055,0.6511570756942171,1.51602662472186,Gold,4,1,5,10,Promo-Dependent
36,54,Male,Blouse,Clothing,33,Massachusetts,M,Cyan,Summer,4.0,1,2-Day Shipping,1,1,48,Credit Card,Bi-Weekly,26,0.6959301008385788,63.80661132272203,0.4712640708417055,0.7191860201677157,0.549767896877158,Platinum,5,2,1,8,Promo-Dependent
37,35,Male,T-shirt,Clothing,69,Illinois,M,Maroon,Winter,4.6,1,Free Shipping,1,1,44,PayPal,Fortnightly,26,0.6872666639219928,75.91607794398479,0.4712640708417055,0.7894533327843984,1.1495146934704212,Platinum,5,2,4,11,Loyal Promo-User
38,35,Male,Jeans,Clothing,45,Indiana,S,Cyan,Summer,2.8,1,Store Pickup,1,1,10,PayPal,Weekly,52,0.8439472648879285,168.02091460979088,0.4712640708417055,0.7047894529775858,0.7496834957415791,Bronze,1,3,2,6,Occasional Buyer
39,29,Male,Dress,Clothing,37,Florida,M,Red,Winter,3.8936333319609964,1,2-Day Shipping,1,1,44,Venmo,Every 3 Months,4,0.4334205100758389,6.306417795173688,0.4712640708417055,0.5693047172351027,0.616406429831965,Platinum,5,1,2,8,Promo-Dependent
